infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
5120,7168,marlin,1,1,23610.057387687513,1
5120,7168,marlin,4,1,94583.71040606266,4
5120,7168,marlin,8,1,188989.32595391537,8
5120,7168,marlin,16,1,376471.13655451435,16
5120,7168,marlin,32,1,670582.4139235211,32
5120,7168,marlin,48,1,743556.0838943277,48
5120,7168,marlin,64,1,776417.1520097923,64
5120,7168,marlin,1,16,375967.6143384919,16
5120,7168,marlin,1,64,775469.7683781565,64
5120,7168,marlin,1,128,772867.3889727782,128
5120,7168,marlin,1,256,762133.10469536,256
5120,7168,marlin,1,512,760957.2082505021,512
5120,7168,marlin,1,1024,761121.6221213071,1024
5120,7168,marlin,1,2048,761244.4387111096,2048
5120,7168,marlin,1,4096,761219.4866639524,4096
5120,7168,marlin,1,8192,761191.2798034339,8192
7168,9216,fp16,1,1,3539.839772027233,1
7168,9216,fp16,4,1,13927.488764412708,4
7168,9216,fp16,8,1,27825.563555254455,8
7168,9216,fp16,16,1,55841.30308466811,16
7168,9216,fp16,32,1,107336.24983567258,32
7168,9216,fp16,48,1,159539.25801483562,48
7168,9216,fp16,64,1,210296.7861861759,64
7168,9216,fp16,1,16,55697.256337875464,16
7168,9216,fp16,1,64,209693.49393592868,64
7168,9216,fp16,1,128,400697.2244399866,128
7168,9216,fp16,1,256,464561.93193542113,256
7168,9216,fp16,1,512,416435.97645376745,512
7168,9216,fp16,1,1024,417233.5746371335,1024
7168,9216,fp16,1,2048,492460.36697785783,2048
7168,9216,fp16,1,4096,507682.4722902248,4096
7168,9216,fp16,1,8192,518068.2707818637,8192
7168,9216,marlin,1,1,14050.378731683344,1
7168,9216,marlin,4,1,56161.675287960876,4
7168,9216,marlin,8,1,112317.30742299798,8
7168,9216,marlin,16,1,224019.58643571046,16
7168,9216,marlin,32,1,421608.86181454756,32
7168,9216,marlin,48,1,447736.6762701562,48
7168,9216,marlin,64,1,459275.8298887829,64
7168,9216,marlin,1,16,223864.60489676887,16
7168,9216,marlin,1,64,459318.88693137595,64
7168,9216,marlin,1,128,456802.5147977821,128
7168,9216,marlin,1,256,452347.17737750366,256
7168,9216,marlin,1,512,452356.34900446935,512
7168,9216,marlin,1,1024,452083.6523617753,1024
7168,9216,marlin,1,2048,452136.17125302536,2048
7168,9216,marlin,1,4096,452176.97326712223,4096
7168,9216,marlin,1,8192,452244.4672223785,8192
8192,10240,fp16,1,1,2714.99279708091,1
8192,10240,fp16,4,1,10831.059552754372,4
8192,10240,fp16,8,1,21584.692814047197,8
8192,10240,fp16,16,1,42803.70481645895,16
8192,10240,fp16,32,1,82812.31040914006,32
8192,10240,fp16,48,1,123632.14919434478,48
8192,10240,fp16,64,1,163501.57616054712,64
8192,10240,fp16,1,16,42755.354154816145,16
8192,10240,fp16,1,64,164564.60454742398,64
8192,10240,fp16,1,128,313804.4089284137,128
8192,10240,fp16,1,256,405834.4716726503,256
8192,10240,fp16,1,512,408128.8925501315,512
8192,10240,fp16,1,1024,365345.0270590852,1024
8192,10240,fp16,1,2048,410226.8402313943,2048
8192,10240,fp16,1,4096,403985.3888864651,4096
8192,10240,fp16,1,8192,411319.001192731,8192
8192,10240,marlin,1,1,11471.032576535077,1
8192,10240,marlin,4,1,45883.75708264742,4
8192,10240,marlin,8,1,91939.18770230991,8
8192,10240,marlin,16,1,183629.1544496243,16
8192,10240,marlin,32,1,349180.9980422464,32
8192,10240,marlin,48,1,372479.68662241794,48
8192,10240,marlin,64,1,381550.5616147276,64
8192,10240,marlin,1,16,183254.26847019244,16
8192,10240,marlin,1,64,381268.5433530024,64
8192,10240,marlin,1,128,380535.0054016748,128
8192,10240,marlin,1,256,380344.1003682412,256
8192,10240,marlin,1,512,380435.8829118828,512
8192,10240,marlin,1,1024,380653.99806545494,1024
8192,10240,marlin,1,2048,380601.6402576882,2048
8192,10240,marlin,1,4096,380614.75417796604,4096
8192,10240,marlin,1,8192,380595.01609043364,8192
4096,4096,fp16,1,1,12867.868672379178,1
4096,4096,fp16,4,1,50844.09982677354,4
4096,4096,fp16,8,1,101007.73957157091,8
4096,4096,fp16,16,1,200903.68082858532,16
4096,4096,fp16,32,1,405670.49411332514,32
4096,4096,fp16,48,1,504591.5751898749,48
4096,4096,fp16,64,1,748510.7090014697,64
4096,4096,fp16,1,16,201746.0362878322,16
4096,4096,fp16,1,64,749910.3915624864,64
4096,4096,fp16,1,128,1468505.552256806,128
4096,4096,fp16,1,256,1407959.6457659183,256
4096,4096,fp16,1,512,1609354.5543963308,512
4096,4096,fp16,1,1024,1615610.4217003821,1024
4096,4096,fp16,1,2048,1731471.99710331,2048
4096,4096,fp16,1,4096,1918392.0050199307,4096
4096,4096,fp16,1,8192,1949063.793508896,8192
4096,4096,marlin,1,1,43535.48770029845,1
4096,4096,marlin,4,1,174839.9376431696,4
4096,4096,marlin,8,1,349911.22467811644,8
4096,4096,marlin,16,1,690217.8576477643,16
4096,4096,marlin,32,1,1054423.0367505315,32
4096,4096,marlin,48,1,1174418.6083488888,48
4096,4096,marlin,64,1,1250144.753088885,64
4096,4096,marlin,1,16,688802.3342034807,16
4096,4096,marlin,1,64,1249338.5825703326,64
4096,4096,marlin,1,128,1248284.4134973583,128
4096,4096,marlin,1,256,1226150.851054752,256
4096,4096,marlin,1,512,1207777.6502487117,512
4096,4096,marlin,1,1024,1207969.397851291,1024
4096,4096,marlin,1,2048,1207014.6806246948,2048
4096,4096,marlin,1,4096,1206781.4922145267,4096
4096,4096,marlin,1,8192,1206706.9049652675,8192
4096,1024,fp16,1,1,49113.240551108145,1
4096,1024,fp16,4,1,146702.90556059557,4
