infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
5120,7168,fp16,1,8192,3798837.86974267,8192
5120,7168,marlin,1,1,32434.40062293531,1
5120,7168,marlin,4,1,120450.42629147577,4
5120,7168,marlin,8,1,217702.59598377813,8
5120,7168,marlin,16,1,445267.5784382468,16
5120,7168,marlin,32,1,930525.0919406088,32
5120,7168,marlin,48,1,1403816.318586006,48
5120,7168,marlin,64,1,2111141.2208729307,64
5120,7168,marlin,1,16,516836.1143428813,16
5120,7168,marlin,1,64,2101557.228121509,64
5120,7168,marlin,1,128,2672790.195853692,128
5120,7168,marlin,1,256,3102829.502952338,256
5120,7168,marlin,1,512,3363951.86585106,512
5120,7168,marlin,1,1024,3513679.0286635715,1024
5120,7168,marlin,1,2048,3597867.470239986,2048
5120,7168,marlin,1,4096,3393961.7142020245,4096
5120,7168,marlin,1,8192,3540785.7334048986,8192
7168,9216,fp16,1,1,11757.987866143005,1
7168,9216,fp16,4,1,45109.30309439841,4
7168,9216,fp16,8,1,89040.5629584311,8
7168,9216,fp16,16,1,174695.73010302588,16
7168,9216,fp16,32,1,368675.801973726,32
7168,9216,fp16,48,1,547150.0415799378,48
7168,9216,fp16,64,1,723624.9405293165,64
7168,9216,fp16,1,16,174796.1497471856,16
7168,9216,fp16,1,64,723055.7101861483,64
7168,9216,fp16,1,128,1211426.2826593681,128
7168,9216,fp16,1,256,1792066.5342103504,256
7168,9216,fp16,1,512,1913673.529289529,512
7168,9216,fp16,1,1024,1884605.664971817,1024
7168,9216,fp16,1,2048,1968922.1142014575,2048
7168,9216,fp16,1,4096,2146749.033337184,4096
7168,9216,fp16,1,8192,2157443.7981741005,8192
7168,9216,marlin,1,1,23369.926370093555,1
7168,9216,marlin,4,1,89487.88559293628,4
7168,9216,marlin,8,1,184990.07759991745,8
7168,9216,marlin,16,1,352490.25176285,16
7168,9216,marlin,32,1,706187.1645948993,32
7168,9216,marlin,48,1,1119230.9346183632,48
7168,9216,marlin,64,1,1558479.0214196988,64
7168,9216,marlin,1,16,370962.2098150124,16
7168,9216,marlin,1,64,1475641.4938814272,64
7168,9216,marlin,1,128,1779507.2110313715,128
7168,9216,marlin,1,256,1964381.8587080352,256
7168,9216,marlin,1,512,2000619.441773279,512
7168,9216,marlin,1,1024,2038496.2288547384,1024
7168,9216,marlin,1,2048,2127613.3026092267,2048
7168,9216,marlin,1,4096,2059735.2157534438,4096
7168,9216,marlin,1,8192,2013734.180868788,8192
8192,10240,fp16,1,1,9330.101554122713,1
8192,10240,fp16,4,1,35552.1430876293,4
8192,10240,fp16,8,1,70104.46422038536,8
8192,10240,fp16,16,1,137580.97132302294,16
8192,10240,fp16,32,1,291994.8551977976,32
8192,10240,fp16,48,1,436018.28015546425,48
8192,10240,fp16,64,1,582794.1262119552,64
8192,10240,fp16,1,16,137511.04728258064,16
8192,10240,fp16,1,64,585626.4305182754,64
8192,10240,fp16,1,128,1014725.8440663678,128
8192,10240,fp16,1,256,1290122.9172126665,256
8192,10240,fp16,1,512,1590697.061746486,512
8192,10240,fp16,1,1024,1513330.7644476346,1024
8192,10240,fp16,1,2048,1718893.2359128585,2048
8192,10240,fp16,1,4096,1725324.0782676663,4096
8192,10240,fp16,1,8192,1731420.741387366,8192
8192,10240,marlin,1,1,50905.028802320165,1
8192,10240,marlin,4,1,203209.4628152136,4
8192,10240,marlin,8,1,407218.0478113835,8
8192,10240,marlin,16,1,816025.1966441288,16
8192,10240,marlin,32,1,1638599.2117190456,32
8192,10240,marlin,48,1,2469175.596584007,48
8192,10240,marlin,64,1,3085477.355066107,64
8192,10240,marlin,1,16,712894.4565738239,16
8192,10240,marlin,1,64,2896899.438838046,64
8192,10240,marlin,1,128,4323699.138134844,128
8192,10240,marlin,1,256,5935093.722942844,256
8192,10240,marlin,1,512,7004447.867108994,512
8192,10240,marlin,1,1024,7771530.188457248,1024
8192,10240,marlin,1,2048,8515035.692560304,2048
8192,10240,marlin,1,4096,9085249.058893451,4096
8192,10240,marlin,1,8192,9815195.821964804,8192
4096,4096,fp16,1,1,39573.72763290107,1
4096,4096,fp16,4,1,170615.32156433482,4
4096,4096,fp16,8,1,338773.4362311122,8
4096,4096,fp16,16,1,671348.1845849488,16
4096,4096,fp16,32,1,1276349.6502428472,32
4096,4096,fp16,48,1,1962470.2664776512,48
4096,4096,fp16,64,1,2531692.4277333776,64
4096,4096,fp16,1,16,665314.6082522157,16
4096,4096,fp16,1,64,2506678.5355200036,64
4096,4096,fp16,1,128,3918967.867468524,128
4096,4096,fp16,1,256,4912519.728957595,256
4096,4096,fp16,1,512,6275090.6336926,512
4096,4096,fp16,1,1024,6291660.167500337,1024
4096,4096,fp16,1,2048,7926020.01549323,2048
4096,4096,fp16,1,4096,7866186.851304458,4096
4096,4096,fp16,1,8192,7992671.664645728,8192
4096,4096,marlin,1,1,56173.47343878775,1
4096,4096,marlin,4,1,224289.47337355296,4
4096,4096,marlin,8,1,443363.96152902,8
4096,4096,marlin,16,1,748167.081839889,16
4096,4096,marlin,32,1,1600663.947417146,32
4096,4096,marlin,48,1,2398369.0971539407,48
4096,4096,marlin,64,1,3308967.1846173485,64
4096,4096,marlin,1,16,883440.1730308917,16
4096,4096,marlin,1,64,3547686.1957063186,64
4096,4096,marlin,1,128,5097620.629371736,128
4096,4096,marlin,1,256,6871727.606523401,256
4096,4096,marlin,1,512,8257153.699062593,512
4096,4096,marlin,1,1024,9190975.427773798,1024
4096,4096,marlin,1,2048,9721275.60064877,2048
4096,4096,marlin,1,4096,9682760.200598517,4096
4096,4096,marlin,1,8192,9813399.396650651,8192
4096,1024,fp16,1,1,64659.87502219877,1
4096,1024,fp16,4,1,198005.6436077795,4
4096,1024,fp16,8,1,395714.9139858016,8
4096,1024,fp16,16,1,782329.1137831724,16
4096,1024,fp16,32,1,1651422.352553389,32
4096,1024,fp16,48,1,2433631.4482313176,48
4096,1024,fp16,64,1,3248404.475234699,64
4096,1024,fp16,1,16,774602.7133061908,16
4096,1024,fp16,1,64,3217285.0251893415,64
4096,1024,fp16,1,128,6701683.661821082,128
4096,1024,fp16,1,256,12146632.629050316,256
4096,1024,fp16,1,512,16428469.907815415,512
4096,1024,fp16,1,1024,24418754.943724155,1024
4096,1024,fp16,1,2048,22513733.54582006,2048
4096,1024,fp16,1,4096,28604113.399856277,4096
4096,1024,fp16,1,8192,31637251.72022511,8192
4096,1024,marlin,1,1,91021.65490322733,1
4096,1024,marlin,4,1,346399.28041735996,4
4096,1024,marlin,8,1,712942.4669273949,8
4096,1024,marlin,16,1,1401081.6926632088,16
4096,1024,marlin,32,1,2939875.5486701634,32
4096,1024,marlin,48,1,4612601.973581364,48
4096,1024,marlin,64,1,6240819.901177409,64
4096,1024,marlin,1,16,1509835.6323609357,16
4096,1024,marlin,1,64,6033978.842931679,64
4096,1024,marlin,1,128,11444020.841168217,128
4096,1024,marlin,1,256,19699743.6119996,256
4096,1024,marlin,1,512,31377807.509831376,512
4096,1024,marlin,1,1024,43665137.3760602,1024
4096,1024,marlin,1,2048,50415659.65535628,2048
4096,1024,marlin,1,4096,61944484.54238404,4096
4096,1024,marlin,1,8192,60663915.461155295,8192
5120,5120,fp16,1,1,26887.90602358006,1
5120,5120,fp16,4,1,108275.04217902181,4
5120,5120,fp16,8,1,215637.1256292624,8
5120,5120,fp16,16,1,428019.307001743,16
5120,5120,fp16,32,1,841306.0445419046,32
5120,5120,fp16,48,1,1255243.9056079322,48
5120,5120,fp16,64,1,1655006.5164913966,64
5120,5120,fp16,1,16,427728.6201172726,16
5120,5120,fp16,1,64,1658683.9471777612,64
5120,5120,fp16,1,128,2546438.7370470227,128
5120,5120,fp16,1,256,3720329.625386216,256
5120,5120,fp16,1,512,2605674.8616940016,512
5120,5120,fp16,1,1024,4569663.7632260015,1024
5120,5120,fp16,1,2048,5376103.300964723,2048
5120,5120,fp16,1,4096,5400922.438789736,4096
5120,5120,fp16,1,8192,5359027.318901693,8192
5120,5120,marlin,1,1,21316.209061887526,1
5120,5120,marlin,4,1,85957.90669410536,4
5120,5120,marlin,8,1,175462.95891114222,8
5120,5120,marlin,16,1,340421.693108084,16
5120,5120,marlin,32,1,625941.516292745,32
